date,vehicle_category,maker,electric_vehicles_sold,uuid,year,month,cumulative_sales,segment
2023-06-01,4-Wheelers,Mercedes-Benz AG,14,5acdfed4-3666-4781-b43e-ba37bfe97de8,2023,June,128,Four-Wheeler Manufacturer
2023-06-01,4-Wheelers,Volvo Auto India,33,4df3da45-1c04-497b-85d6-2c6bc820f6a0,2023,June,203,Four-Wheeler Manufacturer
2023-06-01,4-Wheelers,KIA Motors,30,4960700c-188f-447d-baf3-94eb8181c3b3,2023,June,325,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,Tata Motors,696,ed81cc84-6fb1-4cc9-8233-c5c24d2c549f,2021,July,1727,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,MG Motor,232,29fdbd88-9478-4144-acb8-3d1cbbc1f84c,2021,July,517,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,Mahindra and Mahindra,171,05fe5833-96bf-4eb9-9f07-be4ff8f48cc9,2021,July,526,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,Hyundai Motor,18,3b6276db-68da-4c01-8961-d04351df2883,2021,July,43,Four-Wheeler Manufacturer
2021-07-01,4-Wheelers,Mercedes-Benz AG,1,9f25f612-bc4f-423b-ab3b-dbd540954604,2021,July,6,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,Tata Motors,2264,ccff49f9-0061-44a0-b2b7-df6c180d2ec9,2022,July,20647,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,MG Motor,194,98fbed17-ece1-4371-a5a4-bb572b179039,2022,July,2372,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,Mahindra and Mahindra,866,6c886fc5-ad39-4c06-b512-b4f3bafc5b94,2022,July,6928,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,BYD India,32,3db8c730-3660-4017-8dd8-48b1d9b8a4a1,2022,July,146,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,Hyundai Motor,45,04b71f32-7df4-4dc0-843d-c5a295d76c6e,2022,July,230,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,BMW India,4,ffa0487a-79fd-49fe-bc3d-6839fea75f06,2022,July,33,Four-Wheeler Manufacturer
2022-07-01,4-Wheelers,Mercedes-Benz AG,1,332a1d17-4b40-445d-a3bf-30bc7e3246c8,2022,July,41,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,Tata Motors,3823,0d5f8494-fa45-4d1e-9cdd-df279a84a286,2023,July,51824,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,MG Motor,935,7b274496-6129-45cc-9a00-b3d984afd184,2023,July,7352,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,Mahindra and Mahindra,2174,38b0b698-b349-4696-a0bc-0e9b67affccd,2023,July,30932,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,BYD India,89,5f45a385-25dd-490e-8913-f8c2328f4716,2023,July,1448,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,Hyundai Motor,88,16328cf8-6f45-4d86-aaaa-53717c07db56,2023,July,1066,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,PCA Automobiles,169,5d742b2a-8beb-42b7-b0e2-abc3b7296851,2023,July,1000,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,BMW India,81,be346277-61f0-4d82-90f7-509342cb9d86,2023,July,557,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,Mercedes-Benz AG,23,555dbd99-4347-4d0a-9439-c145771fd50a,2023,July,151,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,Volvo Auto India,26,ad5f7361-fecf-489c-ae31-3b7abd0ff101,2023,July,229,Four-Wheeler Manufacturer
2023-07-01,4-Wheelers,KIA Motors,22,4ae9aaaa-1f1f-428c-9bbf-d2107211d0a0,2023,July,347,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,Tata Motors,584,f560b9f5-1917-4261-a191-f06615695e2b,2021,August,2311,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,MG Motor,303,cb0e5dcc-5ef6-4400-8cab-00138544ae0b,2021,August,820,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,Mahindra and Mahindra,204,277d1912-f68d-44f6-bea5-e50f8eb9f87e,2021,August,730,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,Hyundai Motor,10,f880bd2e-5353-4699-b9a3-836805985cc4,2021,August,53,Four-Wheeler Manufacturer
2021-08-01,4-Wheelers,Mercedes-Benz AG,2,c038f0f5-da0c-4cdb-9c5e-1f3723e00511,2021,August,8,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,Tata Motors,1931,e79d9d05-8359-4add-afb1-f56c91ca72f5,2022,August,22578,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,MG Motor,234,11d9b0cc-a67e-4bcf-ad05-7cffbbc4591e,2022,August,2606,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,Mahindra and Mahindra,1085,907ac018-06a0-4299-a487-6a1d329be29e,2022,August,8013,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,BYD India,33,ab997679-bcaa-455b-9eff-4191ac14b2a9,2022,August,179,Four-Wheeler Manufacturer
2022-08-01,4-Wheelers,Hyundai Motor,53,8ce8677a-ef83-4cef-927e-68ebdd84262d,2022,August,283,Four-Wheeler Manufacturer
