date,year,month,quarter,months_from_start,rolling_mean_ev,ev_growth_rate,ev_penetration,ev_penetration_log,national_market_share,state_rank,growth_stage,market_concentration,region,regional_avg_penetration,state_to_region_ratio,regional_rank,market_maturity_score,adoption_velocity,adoption_velocity_capped,segment_penetration_2-wheelers,segment_penetration_4-wheelers,segment_preference_ratio,segment_preference_ratio_capped,segment_preference_ratio_log,dominant_segment,segment_growth_diff,ev_sales_growth_rank_state,ev_sales_growth_rank_region,is_early_adopter,months_since_peak,is_at_peak,is_missing_ev_growth_rate,is_missing_segment_preference_ratio,is_missing_segment_growth_diff,is_missing_regional_avg_penetration,is_missing_adoption_velocity,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,ev_penetration_rate
2021-04-01,2021,4,2,3,5.0,0.0,0.1,0.0953101798043248,0.08,13.0,Developing,0.0378787878787878,South,0.767,0.13,4.0,1.87,0.0,0.0,0.52,0.1,5.2,5.2,1.824549292051046,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Odisha,4-Wheelers,5,5101,0.0009801999607920015
2021-04-01,2021,4,2,3,18.0,0.0,0.7,0.5306282510621704,0.29,18.0,Developing,0.0116204002582311,West,0.6475,1.08,7.0,27.13,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Puducherry,2-Wheelers,18,2581,0.006974041069352964
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,West,0.6475,0.0,7.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Puducherry,4-Wheelers,0,655,0.0
2021-04-01,2021,4,2,3,9.0,0.0,0.04,0.0392207131532812,0.14,19.0,Early,0.0058102001291155,North,0.319375,0.13,5.0,2.09,0.0,0.0,0.04,0.04,1.0,1.0,0.6931471805599453,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Punjab,2-Wheelers,9,24348,0.0003696402168555939
2021-04-01,2021,4,2,3,4.0,0.0,0.04,0.0392207131532812,0.06,14.0,Early,0.0303030303030303,North,0.319375,0.13,3.0,2.09,0.0,0.0,0.04,0.04,1.0,1.0,0.6931471805599453,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Punjab,4-Wheelers,4,8955,0.00044667783361250696
2021-04-01,2021,4,2,3,325.0,0.0,0.67,0.5128236264286639,5.15,6.0,Developing,0.209812782440284,Central,0.0920833333333333,7.28,1.0,100.0,0.0,0.0,0.67,0.21,3.19,3.19,1.4327007339340465,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Rajasthan,2-Wheelers,325,48828,0.006656017039403621
2021-04-01,2021,4,2,3,22.0,0.0,0.21,0.1906203596086497,0.35,9.0,Developing,0.1666666666666666,Central,0.0920833333333333,2.28,1.0,31.34,0.0,0.0,0.67,0.21,3.19,3.19,1.4327007339340465,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Rajasthan,4-Wheelers,22,10647,0.002066309758617451
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,Central,0.0920833333333333,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,0.0,1,0,0,0,0,0,Sikkim,2-Wheelers,0,398,0.0
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,Central,0.0920833333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,0.0,1,0,0,0,0,0,Sikkim,4-Wheelers,0,361,0.0
2021-04-01,2021,4,2,3,1297.0,0.0,1.2,0.7884573603642702,20.54,2.0,Maturing,0.8373143963847643,West,0.6475,1.85,2.0,46.51,0.0,0.0,1.2,0.4,3.0,3.0,1.3862943611198906,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Tamil Nadu,2-Wheelers,1297,107658,0.012047409388991064
