date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,ev_penetration,year,month,month_name,conventional_vehicles_sold,quarter
2021-06-01,Andaman & Nicobar Island,2-Wheelers,0,2,0.0,2021,6,Jun,2,2
2021-06-01,Andhra Pradesh,2-Wheelers,369,53867,0.69,2021,6,Jun,53498,2
2021-06-01,Andhra Pradesh,4-Wheelers,39,6098,0.64,2021,6,Jun,6059,2
2021-06-01,Arunachal Pradesh,2-Wheelers,0,727,0.0,2021,6,Jun,727,2
2021-06-01,Arunachal Pradesh,4-Wheelers,0,565,0.0,2021,6,Jun,565,2
2021-06-01,Assam,2-Wheelers,6,22586,0.03,2021,6,Jun,22580,2
2021-06-01,Assam,4-Wheelers,1,3842,0.03,2021,6,Jun,3841,2
2021-06-01,Bihar,2-Wheelers,67,100771,0.07,2021,6,Jun,100704,2
2021-06-01,Bihar,4-Wheelers,4,5692,0.07,2021,6,Jun,5688,2
2021-06-01,Chandigarh,2-Wheelers,2,1314,0.15,2021,6,Jun,1312,2
2021-06-01,Chandigarh,4-Wheelers,12,2050,0.59,2021,6,Jun,2038,2
2021-06-01,Chhattisgarh,2-Wheelers,138,31808,0.43,2021,6,Jun,31670,2
2021-06-01,Chhattisgarh,4-Wheelers,5,4526,0.11,2021,6,Jun,4521,2
2021-06-01,DNH and DD,2-Wheelers,2,627,0.32,2021,6,Jun,625,2
2021-06-01,DNH and DD,4-Wheelers,1,234,0.43,2021,6,Jun,233,2
2021-06-01,Delhi,2-Wheelers,205,22186,0.92,2021,6,Jun,21981,2
2021-06-01,Delhi,4-Wheelers,148,12914,1.15,2021,6,Jun,12766,2
2021-06-01,Goa,2-Wheelers,17,1533,1.11,2021,6,Jun,1516,2
2021-06-01,Goa,4-Wheelers,14,749,1.87,2021,6,Jun,735,2
2021-06-01,Gujarat,2-Wheelers,207,59121,0.35,2021,6,Jun,58914,2
2021-06-01,Gujarat,4-Wheelers,61,19359,0.32,2021,6,Jun,19298,2
2021-06-01,Haryana,2-Wheelers,74,31957,0.23,2021,6,Jun,31883,2
2021-06-01,Haryana,4-Wheelers,4,13420,0.03,2021,6,Jun,13416,2
2021-06-01,Himachal Pradesh,2-Wheelers,25,5098,0.49,2021,6,Jun,5073,2
2021-06-01,Himachal Pradesh,4-Wheelers,1,3193,0.03,2021,6,Jun,3192,2
2021-06-01,Jammu and Kashmir,2-Wheelers,87,8677,1.0,2021,6,Jun,8590,2
2021-06-01,Jammu and Kashmir,4-Wheelers,1,4469,0.02,2021,6,Jun,4468,2
2021-06-01,Jharkhand,2-Wheelers,42,33533,0.13,2021,6,Jun,33491,2
2021-06-01,Jharkhand,4-Wheelers,4,4405,0.09,2021,6,Jun,4401,2
2021-06-01,Karnataka,2-Wheelers,560,19402,2.89,2021,6,Jun,18842,2
2021-06-01,Karnataka,4-Wheelers,71,8030,0.88,2021,6,Jun,7959,2
2021-06-01,Kerala,2-Wheelers,184,17828,1.03,2021,6,Jun,17644,2
2021-06-01,Kerala,4-Wheelers,140,10018,1.4,2021,6,Jun,9878,2
2021-06-01,Ladakh,2-Wheelers,0,3,0.0,2021,6,Jun,3,2
2021-06-01,Ladakh,4-Wheelers,0,112,0.0,2021,6,Jun,112,2
2021-06-01,Madhya Pradesh,2-Wheelers,227,90928,0.25,2021,6,Jun,90701,2
2021-06-01,Madhya Pradesh,4-Wheelers,13,12092,0.11,2021,6,Jun,12079,2
2021-06-01,Maharashtra,2-Wheelers,891,75098,1.19,2021,6,Jun,74207,2
2021-06-01,Maharashtra,4-Wheelers,190,24817,0.77,2021,6,Jun,24627,2
2021-06-01,Manipur,2-Wheelers,0,89,0.0,2021,6,Jun,89,2
2021-06-01,Manipur,4-Wheelers,0,18,0.0,2021,6,Jun,18,2
2021-06-01,Meghalaya,2-Wheelers,0,354,0.0,2021,6,Jun,354,2
2021-06-01,Meghalaya,4-Wheelers,0,246,0.0,2021,6,Jun,246,2
2021-06-01,Mizoram,2-Wheelers,0,648,0.0,2021,6,Jun,648,2
2021-06-01,Mizoram,4-Wheelers,0,298,0.0,2021,6,Jun,298,2
2021-06-01,Nagaland,2-Wheelers,0,42,0.0,2021,6,Jun,42,2
2021-06-01,Nagaland,4-Wheelers,0,54,0.0,2021,6,Jun,54,2
2021-06-01,Odisha,2-Wheelers,147,23193,0.63,2021,6,Jun,23046,2
2021-06-01,Odisha,4-Wheelers,2,3041,0.07,2021,6,Jun,3039,2
2021-06-01,Puducherry,2-Wheelers,31,2559,1.21,2021,6,Jun,2528,2
2021-06-01,Puducherry,4-Wheelers,0,445,0.0,2021,6,Jun,445,2
2021-06-01,Punjab,2-Wheelers,71,23393,0.3,2021,6,Jun,23322,2
2021-06-01,Punjab,4-Wheelers,3,7126,0.04,2021,6,Jun,7123,2
2021-06-01,Rajasthan,2-Wheelers,515,59809,0.86,2021,6,Jun,59294,2
2021-06-01,Rajasthan,4-Wheelers,34,12070,0.28,2021,6,Jun,12036,2
2021-06-01,Sikkim,2-Wheelers,0,229,0.0,2021,6,Jun,229,2
2021-06-01,Sikkim,4-Wheelers,0,244,0.0,2021,6,Jun,244,2
2021-06-01,Tamil Nadu,2-Wheelers,660,45197,1.46,2021,6,Jun,44537,2
2021-06-01,Tamil Nadu,4-Wheelers,42,7793,0.54,2021,6,Jun,7751,2
2021-06-01,Tripura,2-Wheelers,1,1523,0.07,2021,6,Jun,1522,2
2021-06-01,Tripura,4-Wheelers,0,185,0.0,2021,6,Jun,185,2
2021-06-01,Uttar Pradesh,2-Wheelers,92,264409,0.03,2021,6,Jun,264317,2
2021-06-01,Uttar Pradesh,4-Wheelers,3,25704,0.01,2021,6,Jun,25701,2
2021-06-01,Uttarakhand,2-Wheelers,37,9766,0.38,2021,6,Jun,9729,2
2021-06-01,Uttarakhand,4-Wheelers,7,2972,0.24,2021,6,Jun,2965,2
2021-06-01,West Bengal,2-Wheelers,12,67354,0.02,2021,6,Jun,67342,2
2021-06-01,West Bengal,4-Wheelers,18,6316,0.28,2021,6,Jun,6298,2
2021-07-01,Andaman & Nicobar Island,2-Wheelers,0,467,0.0,2021,7,Jul,467,3
2021-07-01,Andaman & Nicobar Island,4-Wheelers,8,176,4.55,2021,7,Jul,168,3
2021-07-01,Andhra Pradesh,2-Wheelers,811,58165,1.39,2021,7,Jul,57354,3
2021-07-01,Andhra Pradesh,4-Wheelers,36,7877,0.46,2021,7,Jul,7841,3
2021-07-01,Arunachal Pradesh,2-Wheelers,0,994,0.0,2021,7,Jul,994,3
2021-07-01,Arunachal Pradesh,4-Wheelers,0,661,0.0,2021,7,Jul,661,3
2021-07-01,Assam,2-Wheelers,22,22521,0.1,2021,7,Jul,22499,3
2021-07-01,Assam,4-Wheelers,0,4988,0.0,2021,7,Jul,4988,3
2021-07-01,Bihar,2-Wheelers,189,70562,0.27,2021,7,Jul,70373,3
2021-07-01,Bihar,4-Wheelers,5,5438,0.09,2021,7,Jul,5433,3
2021-07-01,Chandigarh,2-Wheelers,11,1286,0.86,2021,7,Jul,1275,3
2021-07-01,Chandigarh,4-Wheelers,9,1916,0.47,2021,7,Jul,1907,3
2021-07-01,Chhattisgarh,2-Wheelers,253,30642,0.83,2021,7,Jul,30389,3
2021-07-01,Chhattisgarh,4-Wheelers,12,4916,0.24,2021,7,Jul,4904,3
2021-07-01,DNH and DD,2-Wheelers,3,704,0.43,2021,7,Jul,701,3
2021-07-01,DNH and DD,4-Wheelers,0,276,0.0,2021,7,Jul,276,3
2021-07-01,Delhi,2-Wheelers,818,24955,3.28,2021,7,Jul,24137,3
2021-07-01,Delhi,4-Wheelers,131,15033,0.87,2021,7,Jul,14902,3
2021-07-01,Goa,2-Wheelers,64,1694,3.78,2021,7,Jul,1630,3
2021-07-01,Goa,4-Wheelers,10,982,1.02,2021,7,Jul,972,3
2021-07-01,Gujarat,2-Wheelers,358,68641,0.52,2021,7,Jul,68283,3
2021-07-01,Gujarat,4-Wheelers,53,23792,0.22,2021,7,Jul,23739,3
2021-07-01,Haryana,2-Wheelers,134,24476,0.55,2021,7,Jul,24342,3
2021-07-01,Haryana,4-Wheelers,6,14524,0.04,2021,7,Jul,14518,3
2021-07-01,Himachal Pradesh,2-Wheelers,18,6543,0.28,2021,7,Jul,6525,3
2021-07-01,Himachal Pradesh,4-Wheelers,2,3811,0.05,2021,7,Jul,3809,3
