date,year,month,maker,vehicle_category,electric_vehicles_sold,cumulative_sales,maker_rank,market_position,leader_gap_pct,performance_vs_avg,market_share_fraction,hhi_index,market_concentration,effective_competitors,market_share_tier,share_change_status,dual_segment_presence,primary_segment,primary_segment_contribution,segment_specialization
2021-10-01,2021,October,BMW India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.43176334521543625,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-10-01,2021,October,Volvo Auto India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.43176334521543625,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-10-01,2021,October,KIA Motors,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.43176334521543625,Highly Concentrated,2.3,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-10-01,2022,October,PCA Automobiles,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.45482778593264495,Highly Concentrated,2.2,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-10-01,2022,October,Volvo Auto India,4-Wheelers,0,4,8.0,Top 10,100.0,-1.0,0.0,0.45482778593264495,Highly Concentrated,2.2,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-11-01,2021,November,BYD India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.4925792189349112,Highly Concentrated,2.0,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-11-01,2021,November,PCA Automobiles,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.4925792189349112,Highly Concentrated,2.0,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-11-01,2021,November,BMW India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.4925792189349112,Highly Concentrated,2.0,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-11-01,2021,November,Volvo Auto India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.4925792189349112,Highly Concentrated,2.0,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-11-01,2021,November,KIA Motors,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.4925792189349112,Highly Concentrated,2.0,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-11-01,2022,November,PCA Automobiles,4-Wheelers,0,0,10.0,Top 10,100.0,-1.0,0.0,0.4102316633440878,Highly Concentrated,2.4,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-12-01,2021,December,PCA Automobiles,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.6032136994614831,Highly Concentrated,1.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-12-01,2021,December,BMW India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.6032136994614831,Highly Concentrated,1.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-12-01,2021,December,Volvo Auto India,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.6032136994614831,Highly Concentrated,1.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-12-01,2021,December,KIA Motors,4-Wheelers,0,0,6.0,Top 10,100.0,-1.0,0.0,0.6032136994614831,Highly Concentrated,1.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-12-01,2022,December,PCA Automobiles,4-Wheelers,0,0,10.0,Top 10,100.0,-1.0,0.0,0.3876764713165486,Highly Concentrated,2.6,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-01-01,2022,January,PCA Automobiles,4-Wheelers,0,0,7.0,Top 10,100.0,-1.0,0.0,0.5208024973985432,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-01-01,2022,January,BMW India,4-Wheelers,0,0,7.0,Top 10,100.0,-1.0,0.0,0.5208024973985432,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-01-01,2022,January,Volvo Auto India,4-Wheelers,0,0,7.0,Top 10,100.0,-1.0,0.0,0.5208024973985432,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-01-01,2022,January,KIA Motors,4-Wheelers,0,0,7.0,Top 10,100.0,-1.0,0.0,0.5208024973985432,Highly Concentrated,1.9,<5%,Stable,0,4-Wheelers,1.0,1.0
2023-01-01,2023,January,PCA Automobiles,4-Wheelers,0,0,10.0,Top 10,100.0,-1.0,0.0,0.3675007893505192,Highly Concentrated,2.7,<5%,Stable,0,4-Wheelers,1.0,1.0
