date,year,month,quarter,months_from_start,rolling_mean_ev,ev_growth_rate,ev_penetration,ev_penetration_log,national_market_share,state_rank,growth_stage,market_concentration,region,regional_avg_penetration,state_to_region_ratio,regional_rank,market_maturity_score,adoption_velocity,adoption_velocity_capped,segment_penetration_2-wheelers,segment_penetration_4-wheelers,segment_preference_ratio,segment_preference_ratio_capped,segment_preference_ratio_log,dominant_segment,segment_growth_diff,ev_sales_growth_rank_state,ev_sales_growth_rank_region,is_early_adopter,months_since_peak,is_at_peak,is_missing_ev_growth_rate,is_missing_segment_preference_ratio,is_missing_segment_growth_diff,is_missing_regional_avg_penetration,is_missing_adoption_velocity,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
2021-04-01,2021,4,2,3,9.0,0.0,0.04,0.039220713153281295,0.14,19.0,Early,0.005810200129115558,North,0.319375,0.13,5.0,2.09,0.0,0.0,0.04,0.04,1.0,1.0,0.6931471805599453,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Punjab,2-Wheelers,9,24348
2021-04-01,2021,4,2,3,4.0,0.0,0.04,0.039220713153281295,0.06,14.0,Early,0.030303030303030304,North,0.319375,0.13,3.0,2.09,0.0,0.0,0.04,0.04,1.0,1.0,0.6931471805599453,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Punjab,4-Wheelers,4,8955
2021-04-01,2021,4,2,3,325.0,0.0,0.67,0.5128236264286639,5.15,6.0,Developing,0.20981278244028406,Central,0.09208333333333334,7.28,1.0,100.0,0.0,0.0,0.67,0.21,3.19,3.19,1.4327007339340463,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Rajasthan,2-Wheelers,325,48828
2021-04-01,2021,4,2,3,22.0,0.0,0.21,0.19062035960864973,0.35,9.0,Developing,0.16666666666666666,Central,0.09208333333333334,2.28,1.0,31.34,0.0,0.0,0.67,0.21,3.19,3.19,1.4327007339340463,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Rajasthan,4-Wheelers,22,10647
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,Central,0.09208333333333334,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,0.0,1,0,0,0,0,0,Sikkim,2-Wheelers,0,398
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,Central,0.09208333333333334,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,0.0,1,0,0,0,0,0,Sikkim,4-Wheelers,0,361
2021-04-01,2021,4,2,3,1297.0,0.0,1.2,0.7884573603642702,20.54,2.0,Maturing,0.8373143963847643,West,0.6475,1.85,2.0,46.51,0.0,0.0,1.2,0.4,3.0,3.0,1.3862943611198906,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Tamil Nadu,2-Wheelers,1297,107658
2021-04-01,2021,4,2,3,75.0,0.0,0.4,0.33647223662121295,1.19,4.0,Developing,0.5681818181818182,West,0.6475,0.62,4.0,15.5,0.0,0.0,1.2,0.4,3.0,3.0,1.3862943611198906,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Tamil Nadu,4-Wheelers,75,18826
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,Central,0.09208333333333334,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Tripura,2-Wheelers,0,2906
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,Central,0.09208333333333334,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Tripura,4-Wheelers,0,289
2021-04-01,2021,4,2,3,171.0,0.0,0.12,0.11332868530700317,2.71,9.0,Developing,0.1103938024531956,Central,0.09208333333333334,1.3,2.0,17.91,0.0,0.0,0.12,0.02,6.0,6.0,1.9459101490553132,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Uttar Pradesh,2-Wheelers,171,137840
2021-04-01,2021,4,2,3,4.0,0.0,0.02,0.019802627296179712,0.06,14.0,Early,0.030303030303030304,Central,0.09208333333333334,0.22,2.0,2.99,0.0,0.0,0.12,0.02,6.0,6.0,1.9459101490553132,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Uttar Pradesh,4-Wheelers,4,23056
2021-04-01,2021,4,2,3,34.0,0.0,0.45,0.37156355643248307,0.54,16.0,Developing,0.02194964493221433,North,0.319375,1.41,3.0,23.56,0.0,0.0,0.45,0.37,1.22,1.22,0.7975071958841881,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Uttarakhand,2-Wheelers,34,7607
2021-04-01,2021,4,2,3,10.0,0.0,0.37,0.31481073984003355,0.16,10.0,Developing,0.07575757575757576,North,0.319375,1.16,2.0,19.37,0.0,0.0,0.45,0.37,1.22,1.22,0.7975071958841881,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Uttarakhand,4-Wheelers,10,2728
2021-04-01,2021,4,2,3,9.0,0.0,0.01,0.009950330853168083,0.14,19.0,Early,0.005810200129115558,South,0.767,0.01,4.0,0.19,0.0,0.0,0.01,0.31,0.03,0.03,0.0295588022415444,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,West Bengal,2-Wheelers,9,65885
2021-04-01,2021,4,2,3,24.0,0.0,0.31,0.27002713721306015,0.38,8.0,Developing,0.18181818181818182,South,0.767,0.4,2.0,5.78,0.0,0.0,0.01,0.31,0.03,0.03,0.0295588022415444,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,West Bengal,4-Wheelers,24,7640
2021-05-01,2021,5,2,4,0.0,0.0,0.0,0.0,0.0,20.0,Early,0.0,South,0.151,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,4.0,1.0,1,2.0,0,0,0,0,0,0,Andaman and Nicobar Islands,2-Wheelers,0,4
2021-05-01,2021,5,2,4,4.5,-1.0,0.0,0.0,0.0,12.0,Early,0.0,South,0.151,0.0,3.0,0.0,-5.36,-4.791027396125339,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,13.0,4.0,1,0.0,0,0,0,0,0,0,Andaman and Nicobar Islands,4-Wheelers,0,1
2021-05-01,2021,5,2,4,318.5,-0.54,0.49,0.3987761199573678,13.41,2.0,Developing,0.8481012658227848,South,0.151,3.25,1.0,100.0,-0.2,-0.2,0.49,0.27,1.81,1.81,1.0331844833456545,2-Wheelers,-0.134,8.0,3.0,0,2.0,0,0,0,0,0,0,Andhra Pradesh,2-Wheelers,201,41370
2021-05-01,2021,5,2,4,21.0,-0.38,0.27,0.23901690047049992,1.07,4.0,Developing,0.1322314049586777,South,0.151,1.79,1.0,55.1,-0.06,-0.06,0.49,0.27,1.81,1.81,1.0331844833456545,2-Wheelers,0.0,5.0,2.0,0,2.0,0,0,0,0,0,0,Andhra Pradesh,4-Wheelers,16,5831
2021-05-01,2021,5,2,4,0.0,0.0,0.0,0.0,0.0,20.0,Early,0.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,4.0,1.0,1,2.0,0,0,0,0,0,0,Arunachal Pradesh,2-Wheelers,0,552
